#{"t_start": 1732006326.2208889, "env_id": null}
r,l,t,level
1128.375558,16586,260303.387029,7
979.948758,14005,262005.502326,7
0.175283,14457,263752.245574,7
357.720086,1213,263900.396515,7
933.17603,3206,264290.263489,7
295.621356,1334,264451.935526,7
304.45757,1313,264613.780368,7
-290.5497,5745,265357.766477,7
-368.206529,5168,266017.946257,7
329.715229,6130,266777.156813,7
702.369327,3761,267257.033535,7
643.714363,3798,267724.746399,7
741.593767,3225,268115.964705,7
754.683833,4015,268601.813876,7
630.504329,3685,269045.866159,7
526.855821,5314,269582.384047,7
2469.574985,8695,270284.956583,7
1113.655253,17621,271698.241524,7
1580.517628,8079,272354.601273,7
1481.488016,7450,272961.133308,7
1611.688033,10296,273788.545368,7
1351.034522,8580,274483.797071,7
670.236909,8273,275156.294671,7
372.795459,1018,275237.796583,7
825.476326,4063,275567.165205,7
78.649303,1576,275692.048829,7
294.109861,1433,275805.786783,7
-116.298612,2924,276035.785108,7
15.98181,2321,276217.652172,7
643.870669,3616,276508.089677,7
724.423035,3242,276767.412293,7
243.783067,4182,277100.66839,7
567.890724,4327,277447.197213,7
318.302768,7862,278080.640687,7
331.563803,4822,278466.448331,7
480.498599,6100,278957.661024,7
2320.173687,9990,279778.285986,7
902.983951,15143,281006.260468,7
1249.67316,11616,281949.533078,7
1298.461049,9991,282761.865297,7
762.659505,6191,283261.139224,7
1468.490491,14327,284394.660256,7
828.415636,5287,284811.717197,7
312.100033,1693,284943.727121,7
941.072132,2895,285173.879193,7
300.406342,1112,285259.965095,7
265.713297,1703,285391.179505,7
-289.601001,6149,285862.708983,7
-224.623358,3687,286145.684277,7
644.882237,3852,286445.635493,7
-30.701122,8743,287129.112728,7
238.269141,7941,287749.12981,7
551.881385,5187,288154.323872,7
585.803644,5271,288567.609019,7
567.189706,4090,288885.907807,7
496.615362,5749,289336.754546,7
2407.047024,9089,290063.631483,7
749.039165,6816,290599.556159,7
838.068434,17693,291989.944922,7
1581.288994,7730,292603.657216,7
959.203382,6890,293146.220738,7
782.69995,15840,294397.652792,7
82.260591,13948,295500.618113,7
302.113351,1862,295645.474304,7
640.624534,4367,295990.037077,7
282.989681,1450,296103.143451,7
46.243527,1654,296221.222675,7
-949.875903,9712,296561.86612,7
-52.934513,2092,296633.039018,7
468.72914,4693,296804.121783,7
352.849442,7474,297074.537189,7
601.070147,4720,297250.347729,7
694.778378,3657,297395.037576,7
685.755601,3875,297550.891692,7
395.124195,5834,297764.177917,7
393.022663,6729,298013.464324,7
2441.820875,8191,298385.209653,7
672.587336,10583,298824.232156,7
1597.230649,12348,299321.517061,7
1688.504071,6560,299593.123501,7
353.280578,4844,299777.834807,7
1422.007128,8014,300120.85788,7
2.397921,15067,300731.317119,7
359.791184,1199,300772.036998,7
929.89436,3211,300903.296691,7
272.332809,1577,300957.338467,7
252.790601,1507,301009.875931,7
-156.332153,4650,301165.373819,7
-150.071633,4273,301307.343228,7
226.443219,6051,301524.778548,7
312.352021,6878,301769.456175,7
607.684838,4172,301918.896989,7
340.166361,5288,302107.201102,7
703.051915,3635,302243.850345,7
472.410223,4000,302388.202872,7
499.270748,5822,302607.939988,7
1838.613274,11947,303116.701247,7
646.700258,12245,303587.727732,7
1006.682803,13262,304117.739448,7
1682.002142,6658,304402.115277,7
994.978967,8655,304744.896744,7
756.518608,14535,305322.665232,7
651.290222,5661,305561.414908,7
351.091467,1291,305610.582613,7
900.701203,3381,305756.066246,7
246.403397,1841,305823.832227,7
